Rank,Finalworth,Category,Personname,Age,Birthyear,City,Source,Industries,Countryofcitizenship,Organization,Selfmade,Status,Gender,Title,State,Residencestateregion, CPI Country, CPI Change Country (%),GDP Country,Gross Tertiary Education Enrollment (%),Gross Primary Education Enrollment Country,Life Expectancy Country (%),Tax Revenue Country Country (%),Total Tax Rate Country (%),Population Country
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,1951,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,-,FALSE,D,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
101,16500,Finance & Investments,Renata Kellnerova & family,55,1967,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,-,FALSE,D,F,-,-,-,116.48,2.8,"$246,489,245,495 ",64.1,100.7,79,14.9,46.1,10669709
103,16300,Healthcare,Li Xiting,72,1951,Shenzhen,medical devices,Healthcare,Singapore,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
104,16200,Fashion & Retail,Stefan Persson,75,1947,Stockholm,H&M,Fashion & Retail,Sweden,Hennes & Mauritz Unsponsored ADR,FALSE,D,M,Chairman,-,-,110.51,1.8,"$530,832,908,738 ",67,126.6,82.5,27.9,49.1,10285453
104,16200,Technology,Eric Schmidt,67,1955,Atherton,Google,Technology,United States,-,TRUE,D,M,-,California,West,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523
106,16000,Finance & Investments,Michael Platt,55,1968,Geneva,Hedge funds,Finance & Investments,United Kingdom,BlueCrest Capital Management,TRUE,U,M,Founder ,-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
107,15900,Food & Beverage,Pang Kang,67,1956,Foshan,Soy sauce,Food & Beverage,China,-,TRUE,D,M,-,-,-,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77,9.4,59.2,1397715000
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,76,1948,-,Supermarkets,Fashion & Retail,Germany,-,FALSE,Split Family Fortune,M,-,-,-,112.85,1.4,"$3,845,630,030,824 ",70.2,104,80.9,11.5,48.8,83132799
108,15800,Fashion & Retail,Beate Heister,72,1951,-,Supermarkets,Fashion & Retail,Germany,-,FALSE,Split Family Fortune,F,-,-,-,-,-,-,-,-,-,-,-,-
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,1939,Zurich,Beer,Food & Beverage,Brazil,-,TRUE,U,M,"Investor, Philanthropist",-,-,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832
108,15800,Real Estate,Peter Woo,76,1946,Hong Kong,Real estate,Real Estate,Hong Kong,-,FALSE,D,M,-,-,-,-,-,-,-,-,-,-,-,-
